Energy (keV)   Flux (#photons/cm^2)   BB (erg/cm^2)
0.05       nan       254.487
0.1       nan       928.363
0.15       nan       1900.08
0.2       nan       3064.86
0.25       nan       4334.04
0.3       nan       5634.2
0.35       nan       6906.17
0.4       nan       8103.76
0.45       nan       9192.5
0.5       nan       10148.3
0.55       nan       10956
0.6       nan       11608.1
0.65       nan       12103.3
0.7       nan       12445.4
0.75       nan       12642.1
0.8       nan       12703.9
0.85       nan       12643.6
0.9       nan       12474.9
0.95       nan       12212.1
1       nan       11869.8
1.05       nan       11461.8
1.1       nan       11001.6
1.15       nan       10501.6
1.2       nan       9973.21
1.25       nan       9426.51
1.3       nan       8870.52
1.35       nan       8313.04
1.4       nan       7760.67
1.45       nan       7218.95
1.5       nan       6692.39
1.55       nan       6184.55
1.6       nan       5698.19
1.65       nan       5235.29
1.7       nan       4797.2
1.75       nan       4384.71
1.8       nan       3998.14
1.85       nan       3637.42
1.9       nan       3302.15
1.95       nan       2991.68
2       nan       2705.14
2.05       nan       2441.52
2.1       nan       2199.72
2.15       nan       1978.53
2.2       nan       1776.72
2.25       nan       1593.05
2.3       nan       1426.27
2.35       nan       1275.15
2.4       nan       1138.5
2.45       nan       1015.18
2.5       nan       904.094
2.55       nan       804.201
2.6       nan       714.522
2.65       nan       634.142
2.7       nan       562.205
2.75       nan       497.917
2.8       nan       440.543
2.85       nan       389.409
2.9       nan       343.893
2.95       nan       303.426
3       nan       267.491
3.05       nan       235.615
3.1       nan       207.371
3.15       nan       182.37
3.2       nan       160.262
3.25       nan       140.731
3.3       nan       123.493
3.35       nan       108.292
3.4       nan       94.898
3.45       nan       83.107
3.5       nan       72.7352
3.55       nan       63.6188
3.6       nan       55.612
3.65       nan       48.5847
3.7       nan       42.4215
3.75       nan       37.0199
3.8       nan       32.2889
3.85       nan       28.1478
3.9       nan       24.5254
3.95       nan       21.3587
4       nan       18.5919
4.05       nan       16.1759
4.1       nan       14.0675
4.15       nan       12.2284
4.2       nan       10.6251
4.25       nan       9.22809
4.3       nan       8.01145
4.35       nan       6.95239
4.4       nan       6.03093
4.45       nan       5.22958
4.5       nan       4.53299
4.55       nan       3.92773
4.6       nan       3.40206
4.65       nan       2.94569
4.7       nan       2.54966
4.75       nan       2.20613
4.8       nan       1.90824
4.85       nan       1.65004
4.9       nan       1.42633
4.95       nan       1.23256
5       nan       1.06478
